0,11,5,-35,-4,6,0,0,1.5707963267949,3
0,12,5,-25,-4,6,0,0,1.5707963267949,4
0,13,50,20,0,0,0,0,0,1
0.5,11,3,-32,-3.05014331461411,7.16093594880498,1.89971337077179,2.32187189760996,1.5707963267949,3
0.5,12,3,-22,-4.70710678118655,5.29289321881345,-1.41421356237309,-1.41421356237309,1.5707963267949,4
0.5,13,50,20,0,0,0,0,0,1
1,11,1.47492834269295,-28.4195320255975,-1.91898365485859,7.76643429975337,2.01161900765429,2.22562102974517,1.5707963267949,3
1,12,0.646446609406726,-19.3535533905933,-5.45276288180373,4.62656223528321,-1.49131220123436,-1.33266196706049,1.5707963267949,4
1,13,50,20,0,0,0,0,0,1
1.5,11,0.51543651526365,-24.5363148757208,-0.773316282700224,7.9625361491745,2.12362847996325,2.11900969301439,1.5707963267949,3
1.5,12,-2.07993483149514,-17.0402722729517,-6.23462982530477,4.00311690274768,-1.56373388700209,-1.24689066507105,1.5707963267949,4
1.5,13,50,20,0,0,0,0,0,1
2,11,0.128778373913538,-20.5550468011336,0.30459552984501,7.99419924465224,2.22987778400816,2.00689936678121,1.5707963267949,3
2,12,-5.19724974414752,-15.0387138215778,-7.04954337969148,3.42353438155089,-1.62982710877341,-1.15916504239358,1.5707963267949,4
2,13,50,20,0,0,0,0,0,1
2.5,11,0.281076138836043,-16.5579471788075,1.29652370864808,7.89424006937422,2.32754967291498,1.89275263046003,1.5707963267949,3
2.5,12,-8.72202143399326,-13.3269466308024,-7.51309748983853,2.74833879064828,-1.68852472190035,-1.0718601884254,1.5707963267949,4
2.5,13,50,20,0,0,0,0,0,1
3,11,0.929337993160081,-12.6108271441203,2.1942240181092,7.69320355627958,2.41695501168133,1.77716866715247,1.5707963267949,3
3,12,-12.4785701789125,-11.9527772354782,-7.72542397996215,2.07793751826799,-1.73939431435386,-0.987171423408036,1.5707963267949,4
3,13,50,20,0,0,0,0,0,1
3.5,11,2.02645000221468,-8.76422536598056,2.99671443173032,7.41752671816282,2.4985675632833,1.66046985269488,1.5707963267949,3
3.5,12,-16.3412821688936,-10.9138084763442,-7.86179221826011,1.48061578976615,-1.78064656810152,-0.910657893782439,1.5707963267949,4
3.5,13,50,20,0,0,0,0,0,1
4,11,3.52480721807984,-5.05546200689915,3.70782811259626,7.08886526091736,2.57294963029902,1.54270223956022,1.5707963267949,3
4,12,-20.2721782780237,-10.1735005814612,-7.94236406719197,0.958568215714381,-1.81284199757343,-0.844750786820571,1.5707963267949,4
4,13,50,20,0,0,0,0,0,1
4.5,11,5.37872127437797,-1.51102937644047,4.33426076175226,6.72414928813562,2.64069291960323,1.42363650710332,1.5707963267949,3
4.5,12,-24.2433603116196,-9.69421647360398,-7.98384360961962,0.50817439637981,-1.83775130398786,-0.789094509352928,1.5707963267949,4
4.5,13,50,20,0,0,0,0,0,1
5,11,7.5458516552541,1.85104526762734,4.88414003935261,6.33602210191795,2.70237241283628,1.30275989435561,1.5707963267949,3
5,12,-28.2352821164294,-9.44012927541408,-7.99905749585493,0.122797304559566,-1.85698035607579,-0.742713913393741,1.5707963267949,4
5,13,50,20,0,0,0,0,0,1
5.5,11,9.9879216749304,5.01905631858631,5.36604994255054,5.93342295930885,2.75850861759969,1.17924984911098,1.5707963267949,3
5.5,12,-32.2348108643569,-9.3787306231343,-7.99736473575751,-0.205322388604527,-1.87185559422779,-0.7043838686101,1.5707963267949,4
5.5,13,50,20,0,0,0,0,0,1
6,11,12.6709466462057,7.98576779824074,5.78841088895019,5.52216437465265,2.80953163477857,1.0519182445316,1.5707963267949,3
6,12,-36.2334932322357,-9.48139181743656,-7.98534852651914,-0.483951350880033,-1.8834173984382,-0.672858754316452,1.5707963267949,4
6,13,50,20,0,0,0,0,0,1
6.5,11,15.5651520906808,10.7468499855671,6.15911734002428,5.10541610368952,2.85573762201975,0.91910969648947,1.5707963267949,3
6.5,12,-40.2261674954952,-9.72336749287658,-7.96750776524945,-0.720291615035013,-1.892459262626,-0.646991452262749,1.5707963267949,4
6.5,13,50,20,0,0,0,0,0,1
7,11,18.6447107606929,13.2995580374118,6.48534940144293,4.68404132573612,2.89722227466057,0.778526230264999,1.5707963267949,3
7,12,-44.20992137812,-10.0835133003941,-7.9468379605541,-0.920742324809948,-1.89957826003538,-0.625781458658651,1.5707963267949,4
7,13,50,20,0,0,0,0,0,1
7.5,11,21.8873854614144,15.6415787002799,6.77349136161533,4.25673757402574,2.9337623390879,0.626927856893844,1.5707963267949,3
7.5,12,-48.183340358397,-10.5438844627991,-7.92527923631709,-1.09084784750265,-1.90522164817547,-0.608383490344329,1.5707963267949,4
7.5,13,50,20,0,0,0,0,0,1
8,11,25.274131142222,17.7699474872928,7.02910143597885,3.81991269569345,2.96458369610641,0.459612346200627,1.5707963267949,3
8,12,-52.1459799765556,-11.0893083865504,-7.90404546899182,-1.23534012486839,-1.90972482769866,-0.594096862869446,1.5707963267949,4
8,13,50,20,0,0,0,0,0,1
8.5,11,28.7886818602115,19.6799038351395,7.25687551944551,3.36715869766668,2.98787229595995,0.269479392598083,1.5707963267949,3
8.5,12,-56.0980027110515,-11.7069784489846,-7.88385901260528,-1.3582220250616,-1.91334044859814,-0.58234725701962,1.5707963267949,4
8.5,13,50,20,0,0,0,0,0,1
9,11,32.4171196199342,21.3634831839728,7.46051604984259,2.88802705493579,2.99965845910241,0.0452673031596743,1.5707963267949,3
9,12,-60.0399322173541,-12.3860894615154,-7.86511488203816,-1.46286290961999,-1.91626005550809,-0.572666918604643,1.5707963267949,4
